12.5,1750,86
12.5,2000,86
12.5,2250,86
12.5,2500,86
12.5,2750,86
12.5,3000,86
25,750,86
25,1000,87
25,1250,87
25,1500,88
25,1750,88
25,2000,88
25,2250,88
25,2500,88
25,2750,88
25,3000,88
25,3250,88
25,3500,88
25,3750,87
25,4000,86
37.5,500,86
37.5,750,87
37.5,1000,88
37.5,1250,89
37.5,1500,90
37.5,1750,90
37.5,2000,90
37.5,2250,90
37.5,2500,90
37.5,2750,90
37.5,3000,90
37.5,3250,90
37.5,3500,90
37.5,3750,90
37.5,4000,89
37.5,4250,88
37.5,4500,86
50,500,87
50,750,88
50,1000,90
50,1250,91
50,1500,92
50,1750,93
50,2000,93
50,2250,93
50,2500,93
50,2750,93
50,3000,93
50,3250,93
50,3500,93
50,3750,93
50,4000,92
50,4250,90
50,4500,88
50,4750,86
62.5,500,87
62.5,750,89
62.5,1000,92
62.5,1250,94
62.5,1500,94
62.5,1750,94
62.5,2000,94
62.5,2250,95
62.5,2500,95
62.5,2750,95
62.5,3000,94
62.5,3250,94
62.5,3500,94
62.5,3750,94
62.5,4000,94
62.5,4250,94
62.5,4500,92
62.5,4750,89
62.5,5000,86
75,500,88
75,750,90
75,1000,93
75,1250,94
75,1500,94
75,1750,94
75,2000,95
75,2250,96
75,2500,96
75,2750,96
75,3000,96
75,3250,95
75,3500,95
75,3750,94
75,4000,94
75,4250,94
75,4500,94
75,4750,92
75,5000,89
75,5250,86
87.5,500,88
87.5,750,91
87.5,1000,93
87.5,1250,94
87.5,1500,94
87.5,1750,95
87.5,2000,96
87.5,2250,96
87.5,2500,96
87.5,2750,96
87.5,3000,96
87.5,3250,96
87.5,3500,96
87.5,3750,95
87.5,4000,95
87.5,4250,94
87.5,4500,94
87.5,4750,94
87.5,5000,92
87.5,5250,88
87.5,5500,86
100,500,88
100,750,91
100,1000,93
100,1250,94
100,1500,95
100,1750,96
100,2000,96
100,2250,96
100,2500,96
100,2750,96
100,3000,96
100,3250,96
100,3500,96
100,3750,96
100,4000,95
100,4250,95
100,4500,94
100,4750,94
100,5000,94
100,5250,90
100,5500,86
112.5,500,88
