55,1,10,118.1
55,1,15,176.7
55,1,20,214.9
55,1,25,231.6
55,1,30,244.7
55,1,35,259.5
55,1,40,272.6
55,1,45,288.4
55,1,50,298.6
55,1,55,308.8
55,1,60,320.9
55,1,65,328.4
55,1,70,339.5
55,1,75,350.7
55,1,80,360.9
55,1,85,375.8
55,1,90,374
55,1,95,374
55,1,100,369.3
55,2,10,107
55,2,15,160
55,2,20,200
55,2,25,218.6
55,2,30,230.7
55,2,35,246.5
55,2,40,259.5
55,2,45,274.4
55,2,50,281.9
55,2,55,292.1
55,2,60,304.2
55,2,65,308.8
55,2,70,320
55,2,75,330.2
55,2,80,339.5
55,2,85,357.2
55,2,90,356.3
55,2,95,355.3
55,2,100,346
55,5,10,81.9
55,5,15,133
55,5,20,171.2
55,5,25,197.2
55,5,30,209.3
55,5,35,222.3
55,5,40,235.3
55,5,45,247.4
55,5,50,256.7
55,5,55,267
55,5,60,276.3
55,5,65,276.3
55,5,70,288.4
55,5,75,296.7
55,5,80,306
55,5,85,324.7
55,5,90,331.2
55,5,95,329.3
55,5,100,307
55,10,10,67.9
55,10,15,113.5
55,10,20,151.6
55,10,25,177.7
55,10,30,186
55,10,35,201.9
55,10,40,214.9
55,10,45,224.2
55,10,50,232.6
55,10,55,243.7
55,10,60,250.2
55,10,65,247.4
55,10,70,258.6
55,10,75,263.3
55,10,80,273.5
55,10,85,296.7
55,10,90,308.8
55,10,95,304.2
55,10,100,271.6
55,15,10,57.65
55,15,15,100.95
55,15,20,137.65
55,15,25,166.05
55,15,30,173.95
55,15,35,189.3
55,15,40,201.4
55,15,45,211.15
55,15,50,218.15
55,15,55,229.75
55,15,60,238.1
55,15,65,231.6
55,15,70,241.4
55,15,75,246.55
55,15,80,256.3
55,15,85,283.7
55,15,90,298.6
55,15,95,292.1
55,15,100,250.7
55,20,10,47.4
55,20,15,88.4
55,20,20,123.7
55,20,25,154.4
55,20,30,161.9
55,20,35,176.7
55,20,40,187.9
55,20,45,198.1
55,20,50,203.7
55,20,55,215.8
55,20,60,226
55,20,65,215.8
55,20,70,224.2
55,20,75,229.8
55,20,80,239.1
55,20,85,270.7
55,20,90,288.4
55,20,95,280
55,20,100,229.8
55,25,10,41.85
55,25,15,80
55,25,20,115.35
55,25,25,149.3
55,25,30,154.9
55,25,35,171.15
55,25,40,180.95
55,25,45,189.3
55,25,50,195.35
55,25,55,207.9
55,25,60,218.1
55,25,65,206.05
55,25,70,214.9
55,25,75,219.1
55,25,80,228.4
55,25,85,261.4
55,25,90,281.4
55,25,95,272.1
55,25,100,218.15
55,30,10,36.3
55,30,15,71.6
55,30,20,107
55,30,25,144.2
55,30,30,147.9
55,30,35,165.6
55,30,40,174
55,30,45,180.5
55,30,50,187
55,30,55,200
55,30,60,210.2
55,30,65,196.3
55,30,70,205.6
55,30,75,208.4
55,30,80,217.7
55,30,85,252.1
55,30,90,274.4
55,30,95,264.2
55,30,100,206.5
47.5,1,10,115.8
47.5,1,15,169.45
47.5,1,20,204.1
47.5,1,25,219.5
47.5,1,30,233.05
47.5,1,35,247
47.5,1,40,261.1
47.5,1,45,274
47.5,1,50,283.1
47.5,1,55,293
47.5,1,60,305.05
47.5,1,65,313.35
47.5,1,70,322.65
47.5,1,75,333.05
47.5,1,80,343.9
47.5,1,85,356.1
47.5,1,90,353.2
47.5,1,95,349.95
47.5,1,100,344.35
47.5,2,10,104.45
47.5,2,15,155.05
47.5,2,20,190.9
47.5,2,25,206.7
47.5,2,30,219.55
47.5,2,35,233.7
47.5,2,40,247.5
47.5,2,45,260
47.5,2,50,267.25
47.5,2,55,277.6
47.5,2,60,288.2
47.5,2,65,294.25
47.5,2,70,304.1
47.5,2,75,312.25
47.5,2,80,322.9
47.5,2,85,337.05
47.5,2,90,336.1
47.5,2,95,331.3
47.5,2,100,320.65
47.5,5,10,81.9
47.5,5,15,129.75
47.5,5,20,164.45
47.5,5,25,186.75
47.5,5,30,198.3
47.5,5,35,210.6
47.5,5,40,224.85
47.5,5,45,234.7
47.5,5,50,242.85
47.5,5,55,252.5
47.5,5,60,261.45
47.5,5,65,261.7
47.5,5,70,272.75
47.5,5,75,279.4
47.5,5,80,289.35
47.5,5,85,306.45
47.5,5,90,309.95
47.5,5,95,305
47.5,5,100,282.8
47.5,10,10,67.35
47.5,10,15,110
47.5,10,20,145.1
47.5,10,25,168.45
47.5,10,30,177.6
47.5,10,35,191.35
47.5,10,40,203.85
47.5,10,45,212.8
47.5,10,50,219.25
47.5,10,55,229.8
47.5,10,60,237.35
47.5,10,65,233.4
47.5,10,70,244.3
47.5,10,75,248.65
47.5,10,80,258.25
47.5,10,85,278.9
47.5,10,90,288.2
47.5,10,95,281.9
47.5,10,100,250.3
47.5,15,10,57.825
47.5,15,15,98.325
47.5,15,20,132.475
47.5,15,25,157.85
47.5,15,30,165.925
47.5,15,35,179.775
47.5,15,40,191.825
47.5,15,45,200.5
47.5,15,50,206.25
47.5,15,55,216.925
47.5,15,60,224.9
47.5,15,65,218.225
47.5,15,70,228.05
47.5,15,75,232.125
47.5,15,80,241.5
47.5,15,85,265.75
47.5,15,90,278.1
47.5,15,95,270.325
47.5,15,100,231.175
47.5,20,10,48.3
47.5,20,15,86.65
47.5,20,20,119.85
47.5,20,25,147.25
47.5,20,30,154.25
47.5,20,35,168.2
47.5,20,40,179.8
47.5,20,45,188.2
47.5,20,50,193.25
47.5,20,55,204.05
47.5,20,60,212.45
47.5,20,65,203.05
47.5,20,70,211.8
47.5,20,75,215.6
47.5,20,80,224.75
47.5,20,85,252.6
47.5,20,90,268
47.5,20,95,258.75
47.5,20,100,212.05
47.5,25,10,43.15
47.5,25,15,79.175
47.5,25,20,112.275
47.5,25,25,142.325
47.5,25,30,147.75
47.5,25,35,162.525
47.5,25,40,172.7
47.5,25,45,180.15
47.5,25,50,185.425
47.5,25,55,196.725
47.5,25,60,205.1
47.5,25,65,194.025
47.5,25,70,202.625
47.5,25,75,205.85
