0.167,3.413
0.164,3.411
0.162,3.409
0.160,3.407
0.157,3.405
0.155,3.402
0.152,3.4
0.150,3.398
0.148,3.396
0.145,3.394
0.143,3.391
0.140,3.387
0.138,3.383
0.136,3.379
0.133,3.374
0.131,3.37
0.129,3.366
0.126,3.362
0.124,3.357
0.121,3.353
0.119,3.346
0.117,3.339
0.114,3.331
0.112,3.324
0.110,3.317
0.107,3.309
0.105,3.302
0.102,3.295
0.100,3.288
0.098,3.281
0.095,3.274
0.093,3.267
0.090,3.261
0.088,3.254
0.086,3.247
0.083,3.239
0.081,3.229
0.079,3.219
0.076,3.209
0.074,3.198
0.071,3.188
0.069,3.178
0.067,3.167
0.064,3.156
0.062,3.145
0.060,3.134
0.057,3.123
0.055,3.112
0.052,3.098
0.050,3.085
0.048,3.072
0.045,3.059
0.043,3.045
0.040,3.032
0.038,3.019
0.036,3.004
0.033,2.989
0.031,2.974
0.029,2.959
0.026,2.944
0.024,2.929
0.021,2.912
0.019,2.895
0.017,2.878
0.014,2.861
0.012,2.842
0.010,2.817
0.007,2.793
0.005,2.768
0.002,2.73
0.000,2.691
